episode,winner,PPO,Random
1234,PPO,1,-1
1235,Random,-1,1
1236,PPO,1,-1
1237,PPO,1,-1
1238,PPO,1,-1
1239,Random,-1,1
1240,PPO,1,-1
1241,Random,-1,1
1242,Random,-1,1
1243,PPO,1,-1
1244,PPO,1,-1
1245,PPO,1,-1
1246,PPO,1,-1
1247,PPO,1,-1
1248,PPO,1,-1
1249,PPO,1,-1
1250,Random,-1,1
1251,Random,-1,1
1252,PPO,1,-1
1253,Random,-1,1
1254,PPO,1,-1
1255,PPO,1,-1
1256,PPO,1,-1
1257,PPO,1,-1
1258,PPO,1,-1
1259,PPO,1,-1
1260,Random,-1,1
1261,PPO,1,-1
1262,PPO,1,-1
1263,PPO,1,-1
1264,PPO,1,-1
1265,PPO,1,-1
1266,PPO,1,-1
1267,Random,-1,1
1268,Random,-1,1
1269,PPO,1,-1
1270,PPO,1,-1
