episode,winner,DQN,Random
1237,DQN,1,-1
1238,draw,0,0
1239,Random,-1,1
1240,Random,-1,1
1241,DQN,1,-1
1242,DQN,1,-1
1243,DQN,1,-1
1244,DQN,1,-1
1245,DQN,1,-1
1246,DQN,1,-1
1247,DQN,1,-1
1248,Random,-1,1
1249,draw,0,0
1250,Random,-1,1
1251,DQN,1,-1
1252,DQN,1,-1
1253,DQN,1,-1
1254,DQN,1,-1
1255,DQN,1,-1
1256,DQN,1,-1
1257,Random,-1,1
1258,Random,-1,1
1259,DQN,1,-1
1260,DQN,1,-1
1261,Random,-1,1
1262,Random,-1,1
1263,DQN,1,-1
1264,DQN,1,-1
1265,DQN,1,-1
1266,DQN,1,-1
1267,DQN,1,-1
1268,DQN,1,-1
1269,DQN,1,-1
1270,DQN,1,-1
1271,Random,-1,1
1272,DQN,1,-1
1273,DQN,1,-1
1274,DQN,1,-1
1275,DQN,1,-1
1276,DQN,1,-1
1277,DQN,1,-1
1278,DQN,1,-1
1279,DQN,1,-1
1280,DQN,1,-1
1281,DQN,1,-1
1282,DQN,1,-1
1283,DQN,1,-1
1284,DQN,1,-1
1285,DQN,1,-1
1286,DQN,1,-1
1287,DQN,1,-1
1288,Random,-1,1
1289,DQN,1,-1
1290,DQN,1,-1
1291,DQN,1,-1
1292,DQN,1,-1
1293,DQN,1,-1
1294,DQN,1,-1
1295,Random,-1,1
1296,DQN,1,-1
1297,draw,0,0
1298,DQN,1,-1
1299,DQN,1,-1
1300,DQN,1,-1
1301,draw,0,0
1302,DQN,1,-1
1303,DQN,1,-1
1304,DQN,1,-1
1305,draw,0,0
1306,DQN,1,-1
1307,DQN,1,-1
1308,DQN,1,-1
1309,DQN,1,-1
1310,DQN,1,-1
1311,DQN,1,-1
1312,DQN,1,-1
1313,DQN,1,-1
1314,DQN,1,-1
1315,DQN,1,-1
1316,Random,-1,1
1317,Random,-1,1
1318,DQN,1,-1
1319,Random,-1,1
1320,Random,-1,1
1321,DQN,1,-1
1322,DQN,1,-1
1323,DQN,1,-1
1324,DQN,1,-1
1325,DQN,1,-1
1326,DQN,1,-1
1327,DQN,1,-1
1328,DQN,1,-1
1329,DQN,1,-1
1330,DQN,1,-1
1331,DQN,1,-1
1332,DQN,1,-1
1333,DQN,1,-1
1334,DQN,1,-1
1335,DQN,1,-1
1336,DQN,1,-1
1337,DQN,1,-1
1338,DQN,1,-1
1339,DQN,1,-1
1340,DQN,1,-1
1341,DQN,1,-1
1342,DQN,1,-1
1343,DQN,1,-1
1344,DQN,1,-1
