episode,winner,PHC,PHC_2
1070,PHC,1,-1
1071,PHC,1,-1
1072,PHC,1,-1
1073,PHC,1,-1
1074,PHC,1,-1
1075,PHC_2,-1,1
1076,PHC,1,-1
1077,PHC,1,-1
1078,PHC,1,-1
1079,PHC,1,-1
1080,PHC,1,-1
1081,PHC,1,-1
1082,PHC_2,-1,1
1083,PHC,1,-1
1084,PHC_2,-1,1
1085,PHC,1,-1
1086,PHC,1,-1
1087,PHC_2,-1,1
1088,PHC_2,-1,1
1089,PHC_2,-1,1
1090,PHC,1,-1
1091,PHC,1,-1
1092,PHC,1,-1
1093,PHC,1,-1
1094,PHC,1,-1
1095,PHC,1,-1
1096,PHC,1,-1
1097,PHC,1,-1
1098,PHC,1,-1
1099,PHC,1,-1
1100,PHC,1,-1
1101,PHC,1,-1
1102,PHC,1,-1
1103,PHC,1,-1
1104,PHC_2,-1,1
1105,PHC,1,-1
1106,PHC,1,-1
1107,PHC_2,-1,1
1108,PHC,1,-1
1109,PHC,1,-1
1110,PHC,1,-1
1111,PHC_2,-1,1
1112,PHC_2,-1,1
1113,PHC,1,-1
1114,PHC,1,-1
1115,PHC,1,-1
1116,PHC,1,-1
1117,PHC,1,-1
1118,PHC,1,-1
1119,PHC_2,-1,1
1120,PHC,1,-1
1121,PHC,1,-1
1122,PHC,1,-1
1123,PHC,1,-1
1124,PHC,1,-1
1125,PHC_2,-1,1
1126,PHC,1,-1
1127,PHC_2,-1,1
1128,PHC,1,-1
1129,PHC,1,-1
1130,PHC_2,-1,1
1131,PHC,1,-1
1132,PHC,1,-1
1133,PHC_2,-1,1
1134,PHC_2,-1,1
1135,PHC,1,-1
1136,PHC,1,-1
1137,PHC,1,-1
1138,PHC,1,-1
1139,PHC,1,-1
1140,PHC_2,-1,1
1141,PHC,1,-1
1142,PHC_2,-1,1
1143,PHC,1,-1
1144,PHC,1,-1
1145,PHC,1,-1
1146,PHC_2,-1,1
1147,PHC,1,-1
1148,PHC,1,-1
1149,PHC,1,-1
1150,PHC_2,-1,1
1151,PHC,1,-1
1152,PHC,1,-1
1153,PHC,1,-1
1154,PHC_2,-1,1
1155,PHC,1,-1
1156,PHC,1,-1
1157,PHC,1,-1
1158,PHC,1,-1
1159,PHC,1,-1
1160,PHC,1,-1
1161,PHC_2,-1,1
1162,PHC,1,-1
1163,PHC,1,-1
1164,PHC,1,-1
1165,PHC_2,-1,1
1166,PHC,1,-1
1167,PHC_2,-1,1
